raf,mek,plc,pip2,erk,akt,pka,pkc,p38,jnk,Class
26.2,39.2,24.8,44.9,50,90.6,1407,31.9,62.1,74.3,0
27.9,17.9,45.7,141,19.6,34.9,947,15,22.3,29.2,1
96.5,62.6,106,359,11.1,24.6,750,6.79,40.7,34.9,1
191,121,15.8,106,12.9,22.5,638,8.98,18.9,21.5,0
31.3,17.8,24.1,15.4,22.5,39.2,552,31.1,97.3,207,0
43.7,25.7,9.91,113,40,58.8,483,17.8,47,88.2,0
35.9,25.7,49.6,362,35.9,55.7,1877,9.39,21.9,27.6,1
36.5,28.4,16.1,106,11.7,28.6,604,76.4,163,198,0
163,94.7,17.5,23.9,13.8,46.1,400,8.13,11.8,17.3,0
25.5,22.7,44.9,248,44.1,89,3078,35.5,70.4,103,1
34.9,24.6,29.4,41.4,20.7,56.7,478,8.9,19.1,13.7,0
30.2,16.7,18.8,62.1,12.7,32.2,717,4.83,26.2,36.8,0
229,165,21.3,25.5,59.4,129,2436,9.91,20,15.5,0
43.7,27.4,78.4,385,45.7,80.6,1611,9.14,16.5,13.8,1
133,95.6,18.4,57.3,12.4,35.9,562,18.3,41.4,46.1,0
23.3,30.2,31.3,202,58.3,104,1670,19.8,42.6,109,1
33.4,21.5,23.7,32.2,11.7,34.6,359,14.1,26.9,34.6,0
49.1,41.4,17.8,122,10.1,10.2,965,13,34,27.9,1
37.5,22.3,24.4,67.3,9.65,16.5,300,8.9,13.5,9.56,1
30,15.5,15.3,56.2,37.9,47.8,604,6.04,24.1,10.2,0
38.5,32.8,11.7,7.5,61.5,154,3078,14.1,21.5,5.62,0
36.8,25.3,41,146,10.2,25.7,1382,14.1,34.6,27.6,1
31.9,15.3,19.5,15.8,16.5,42.2,1700,63.2,98.2,34.9,0
189,121,21.3,27.9,29.7,44.9,661,2.13,67.9,5.88,0
28.4,17.3,20,101,6.15,8.9,239,10,20.4,20.9,0
170,103,15.5,32.5,39.2,59.9,2763,5.42,23.1,27.1,0
37.9,21.9,52.3,322,22.7,41,483,8.74,17.8,30,1
31.9,21.1,25.3,26.9,2.21,9.56,118,9.65,22.3,21.3,0
47.8,31.6,24.6,98.2,42.9,110,1512,9.22,29.4,49.1,0
27.9,20.9,39.2,103,33.1,62.6,764,6.73,23.5,25.3,1
28.6,15.8,17.9,61.5,12.4,17.5,704,3.13,20.2,20.5,0
132,130,56.7,237,23.1,36.2,483,9.22,27.4,35.2,1
33.4,23.5,111,433,7.99,16.7,410,56.7,118,142,1
85.8,47,25.7,89,67.9,108,1486,45.7,123,84.3,0
39.6,27.9,14.2,80.6,17.9,30,547,31.3,66.7,112,0
35.2,22.9,13.9,102,31.1,64.4,1715,8.66,30.5,22.5,1
76.4,47,24.4,19.1,11.9,27.6,538,11.7,23.5,20.7,0
34.3,38.9,22.1,30,10.6,19.1,538,17,46.1,59.4,0
50.9,16.8,16.3,331,15.5,32.8,750,10,18.3,25.9,1
35.9,22.5,16.5,15,5.14,10.3,661,20.9,51.4,72.3,0
32.2,24.1,21.5,13.9,46.1,85.8,1322,2.37,40.3,26.7,0
36.5,36.8,32.5,36.8,25.3,32.2,509,4.96,20,25.3,0
57.8,37.2,5.38,12.1,16.7,38.2,991,11.9,31.3,31.1,0
49.6,35.5,16.8,200,34,51.4,552,16.1,22.3,34.3,1
27.9,17.6,16.8,105,13,32.5,2035,10.6,29.4,28.4,1
53.8,27.1,30.2,13.5,93.9,170,2308,13.5,26.4,46.6,0
30.2,20.7,17.2,44.5,25,43.7,835,10.6,23.5,8.66,0
35.5,22.1,23.5,131,16.4,32.2,1670,12.1,30.5,44.1,0
40.7,25,14.3,167,10.5,17.8,914,8.51,30.2,30.8,1
43.7,22.1,21.1,125,16.3,16.4,514,18.1,32.5,44.5,0
127,132,16.7,233,14.5,39.2,644,3.96,20.5,8.9,1
89.8,49.6,12.3,163,9.73,18.1,784,20.9,69.8,68.5,0
23.1,21.7,25.3,17.3,14.3,30,835,9.82,25.3,14.2,0
36.8,17.6,9.47,161,52.8,92.2,2072,8.13,10.3,16.1,1
30.5,26.7,36.5,34.9,50,105,2308,41,89,112,0
59.9,46.1,25,35.5,43.7,91.4,1778,41.4,97.3,145,0
23.7,40,10.2,122,13,21.7,858,34.6,77.7,98.2,0
49.1,32.2,17,157,6.26,12.7,757,11.5,17.5,20.7,1
35.9,25.7,21.7,28.4,16.3,28.6,692,56.7,85.1,27.1,0
28.4,21.7,19.3,168,26.2,95.6,2969,11.2,38.5,58.8,0
89,51.9,17.5,21.1,5.78,10.6,973,15.7,79.9,27.4,0
27.1,30.8,23.1,16.5,13.3,39.6,982,12.5,25.7,42.6,0
172,110,11,221,63.8,118,3134,9.65,19.8,26.4,1
68.5,47,30,28.1,20.2,28.1,562,11.1,35.9,1,0
22.1,19.8,19.8,157,28.1,34.6,538,7.64,25,29.2,0
47.4,36.5,9.22,12.9,19.8,38.9,874,9.31,13.8,15.7,0
57.3,46.6,13.3,75.7,10.1,28.1,449,10.8,20,17.5,0
36.5,16.4,18.6,26.2,13.6,21.9,1762,15.1,37.5,11,0
34,12,33.4,255,17.6,32.8,644,7.64,46.6,15.7,1
36.8,13.3,14.6,24.8,70.4,118,1009,5.99,7.91,10.5,0
42.6,26.2,30,21.1,9.91,35.9,403,8.28,24.1,22.9,0
28.1,16.7,35.2,49.1,23.7,36.8,514,10.3,38.5,60.4,1
142,76.4,18.6,22.7,32.5,55.2,890,20.2,41,43.7,0
36.2,34,36.8,42.9,36.8,45.7,638,6.79,19.5,26.9,1
33.1,29.4,22.1,42.2,23.1,33.1,1055,9.65,47,42.2,0
215,109,13.9,42.9,29.4,60.4,3191,8.98,20.5,31.6,0
115,80.6,22.3,27.4,20.7,31.6,567,10.4,25.3,29.7,0
97.3,63.2,21.5,21.1,27.1,47,784,7.99,46.1,18.9,0
129,93.9,23.7,16,7.91,38.2,403,1.91,6.04,1.13,0
67.3,41.4,40.7,66.1,82,131,2017,10.8,16.3,27.6,1
46.6,29.2,17.5,58.3,19.8,37.9,947,5.83,17.6,25.7,0
58.3,40.7,16.5,150,14.9,35.2,914,3.85,13.9,28.4,0
52.8,43.3,30.8,21.9,37.9,56.7,1554,18.4,32.8,35.2,0
37.5,29.4,27.6,45.3,43.3,60.4,692,7.57,24.8,37.2,1
165,98.2,23.7,17.3,13.1,23.9,737,13.2,21.5,23.1,0
80.6,49.1,17.8,235,4.83,18.9,322,14.7,24.1,52.3,1
36.2,18.6,19.1,14.1,19.1,30.5,661,13.3,19.1,37.2,0
22.9,26.2,20,207,19.6,35.5,791,12.1,16.3,36.8,0
35.2,34.9,20.7,204,18.3,29.4,588,13.3,22.3,36.8,1
34.9,22.1,26.7,43.3,27.4,26.7,491,5.09,5.73,22.1,0
178,100,27.4,300,34.3,67.3,1794,8.66,8.51,16.4,1
50.5,30.2,19.3,11,17.3,28.9,632,23.7,63.8,59.9,0
64.9,51.9,17,135,15,23.9,764,7.57,17,26.9,0
54.7,37.2,20,16.1,35.2,53.8,552,14.5,31.1,5.14,0
30.5,21.7,21.5,95.6,16.7,28.1,947,6.55,22.9,20.4,0
51.4,32.8,32.8,23.9,13.6,23.7,843,9.56,21.7,21.9,1
69.2,40.3,20.2,62.6,2.15,7.37,21.3,14.6,42.2,38.2,1
36.8,22.7,28.1,23.1,20.7,32.8,433,42.2,104,95.6,0
47,37.2,12.6,35.2,12.1,24.1,673,2.29,23.7,17.5,0
37.2,29.2,35.5,29.7,56.7,82,1827,1.35,10.3,24.4,1
50.5,29.2,15,143,17.9,32.5,470,6.85,24.4,15.7,0
15.3,30.5,19.5,154,30,47.4,594,7.91,36.8,43.3,0
38.2,21.9,36.5,382,17,39.2,500,11.1,24.1,32.5,1
64.4,35.9,18.1,20.5,26.2,60.4,1640,20.4,42.6,42.2,0
172,95.6,15.5,40.7,3.28,12.3,737,8.2,21.5,18.9,0
35.5,28.1,17.8,20.5,50.9,89,890,6.15,7.23,14.9,0
40.3,21.5,51.4,223,15.8,41.4,610,6.15,20.2,20.9,1
22.9,19.3,13.9,16.7,111,172,2054,9.31,20.5,22.5,0
53.8,49.6,25.5,20.2,6.15,13,939,24.6,45.3,68.5,0
147,89,33.7,269,8.98,22.7,1000,11.1,20,34.9,1
95.6,64.9,30.8,198,63.2,127,2308,14.2,25.5,52.3,1
75.7,63.8,55.7,311,37.2,63.8,1685,13,26.2,38.2,1
79.1,52.3,12.9,138,172,453,4826,7.64,28.9,28.4,0
42.9,30.8,23.1,18.6,4.53,17.8,1065,5.78,19.1,12.3,0
157,93.9,16.5,16.4,18.4,35.9,649,8.9,26.7,21.1,0
223,153,10.7,87.4,38.2,69.2,2288,34.9,80.6,120,0
33.1,20.9,21.5,84.3,17.6,27.9,573,9.73,24.1,16.4,0
57.8,7.57,16.3,158,42.6,73.7,1009,5,12,17.6,1
233,286,46.6,302,12.2,17.5,679,9.82,22.3,73,1
52.3,45.3,10.4,83.5,14.2,31.3,931,7.23,26.4,42.2,0
43.7,27.6,25.9,22.3,30.8,44.1,594,17.9,54.2,94.7,0
36.2,19.3,21.3,16.4,28.9,40,890,6.32,30.5,17.6,0
54.7,42.2,20.2,16.5,45.7,78.4,3652,12.9,19.5,29.7,0
60.4,35.5,14.1,124,1,2.71,10.6,40.7,71,86.6,1
59.9,48.7,30.2,209,22.1,41,509,8.43,21.5,18.1,0
22.9,26.9,20.2,19.6,10.3,13.3,255,10.1,22.5,19.6,0
164,225,18.4,52.8,50,68.5,453,2.39,18.4,13.9,0
44.5,33.7,19.3,35.2,3.68,21.9,445,10.5,16.8,25.3,0
36.5,22.5,17.2,16.5,21.5,48.7,604,21.9,42.9,44.1,0
23.9,7.57,20.5,121,35.5,46.6,615,34,75.7,75,0
49.6,41.4,25.7,11.1,28.9,57.3,1762,5,27.1,33.1,0
143,74.3,24.4,51.4,50,82.8,2414,50.5,100,87.4,0
35.2,16.3,16.8,20,9.06,34,407,7.3,29.2,35.2,0
36.5,22.1,15.8,111,31.1,56.2,685,7.37,16.1,2.5,1
34.3,21.1,14.6,132,9.56,14.9,799,6.15,16.5,25.5,0
20,17.6,5.99,6.92,3.65,10.4,552,11,22.3,21.5,0
73,50,28.9,32.2,10.2,17.9,319,8.43,17,42.2,1
161,89,19.5,142,18.4,24.6,704,4.96,19.5,12.4,0
31.3,31.3,18.8,17.3,21.7,49.6,1433,14.1,29.2,30.2,0
27.1,28.4,16.1,20.5,14.7,25.9,626,1,46.1,3.08,1
205,137,19.1,17,26.9,59.4,956,7.7,16.1,28.6,0
47.4,38.5,24.6,31.3,57.3,93.9,1911,10.8,17.3,18.9,0
52.8,31.3,44.9,264,12.1,35.9,1263,13.9,27.9,21.7,1
164,87.4,22.1,26.4,12.1,13.9,533,12.5,31.9,25.7,0
55.7,29.4,33.1,626,11.2,23.7,784,9.31,15.7,36.2,1
40,44.1,63.8,346,12.7,29.2,578,16.7,41.4,53.3,1
85.8,71,19.1,28.1,31.9,57.3,1582,9.22,13.7,34.3,0
47.4,33.1,65.5,141,33.4,46.1,426,13.8,30.2,20.2,1
37.5,28.1,13.9,34,11.3,21.9,1155,9.31,20.7,24.1,0
26.7,15,9.82,154,25.7,39.6,325,14.7,29.7,52.8,0
37.9,29.4,27.4,24.1,15.4,31.1,547,7.64,9.56,20.7,0
29.4,22.5,45.7,328,94.7,170,2167,7.17,20.7,30.8,1
33.1,26.4,21.5,50.9,117,135,445,49.6,109,103,0
38.2,18.1,10,20.4,12.2,31.9,784,9.65,28.4,22.7,0
36.8,24.4,15.7,44.5,23.7,43.7,1018,109,281,355,0
41,31.9,20,105,34,67.9,1640,16,36.5,32.2,0
141,76.4,24.8,35.9,4.53,10.2,922,9.22,22.5,25.9,0
42.9,35.9,14.7,124,30.2,48.7,1104,2.97,13.2,18.4,1
66.7,30.2,1,14.3,40.7,64.4,449,1,6.21,3.92,0
28.1,12.4,24.8,22.5,14.6,40.7,514,8.35,20.9,24.1,0
21.3,22.3,53.3,337,7.37,8.51,334,6.79,15,13.5,1
28.6,22.5,10.6,19.1,60.4,147,2548,17.3,41.8,67.9,1
225,149,9.39,11.3,24.8,59.9,1640,1,13.1,17.3,0
143,161,26.9,16.1,8.43,25.9,799,23.3,47.8,39.6,0
32.5,27.6,20,56.7,30.5,45.7,1208,27.6,64.9,131,0
40.7,21.5,21.7,50.9,28.4,42.2,578,2,17.9,16,0
53.3,47.4,29.2,47.4,9.39,23.5,1094,1.06,119,6.92,0
85.8,46.1,58.3,355,13,27.9,466,32.8,99.1,59.9,1
51.9,37.5,53.3,198,9.22,18.1,533,19.3,29.4,54.7,1
67.3,72.3,10.5,119,23.3,41,632,47.4,131,264,0
30,30.5,2.62,3.28,5.09,12.7,710,8.13,15.3,13.3,0
24.1,18.3,17.9,97.3,63.2,112,1911,17.6,27.9,35.2,0
32.2,19.1,14.3,77,17.5,30.2,562,18.3,50,62.6,0
36.2,31.6,22.5,41,12.4,27.9,965,18.8,57.3,64.4,0
72.3,53.8,24.8,20.7,16.3,28.9,1298,50.9,84.3,89.8,0
34.9,25.7,20.4,81.3,21.5,50.5,1165,6.67,30.5,23.5,0
151,80.6,43.3,47,20,49.1,704,8.74,11.3,15,0
34,15.4,16.8,57.8,35.2,49.6,1762,9.31,28.6,27.1,0
104,82,12.3,1.19,17,23.3,523,14.1,26.4,27.1,1
88.2,35.9,20,131,34.6,55.2,1144,15.1,34.3,27.1,0
107,56.2,19.6,195,29.4,46.6,638,8.35,21.1,13.9,0
3.49,4.41,25.9,26.7,20,40.7,828,7.99,28.1,27.9,0
50.5,33.4,51.9,385,16.7,22.9,487,4.18,18.1,32.2,1
79.1,56.2,4.78,66.1,39.6,79.1,2503,25,62.1,72.3,0
51.4,27.4,65.5,418,24.6,41.8,799,13.9,33.7,31.1,1
48.3,33.4,25,28.6,3.92,8.9,158,3.28,12.7,19.3,0
77,50.5,18.9,150,29.2,49.1,874,8.58,200,7.23,0
41,27.6,20,16.1,13.7,42.9,610,36.8,77,121,0
50,25.3,16.7,80.6,22.1,36.8,583,7.57,10.6,23.1,0
57.3,35.5,62.6,437,4.53,15.1,806,47.4,59.4,14.3,1
34,16,12.1,289,17.8,20.7,505,13.3,29.7,32.5,1
31.9,23.5,25.3,23.5,10.7,24.6,851,11.9,22.7,7.37,0
39.6,28.1,18.1,28.9,19.1,29.7,557,18.6,65.5,73,1
88.2,63.8,78.4,337,28.4,44.5,828,17.9,52.3,55.2,1
65.5,42.9,23.3,22.5,13.5,19.1,441,6.1,23.3,34.3,0
108,71.7,16.8,183,16.1,30,400,13.6,21.5,44.1,1
27.9,26.2,14.1,292,13.9,38.5,730,5.73,23.3,26.7,1
114,69.8,12.2,211,63.8,98.2,1655,11.2,24.4,30,0
48.7,28.9,32.2,31.3,32.8,57.8,1298,19.1,49.6,54.7,0
41,18.1,14.6,22.1,24.4,38.9,594,9.56,17.9,7.3,0
34.9,19.6,20.2,13.1,55.2,115,1843,7.04,25.3,36.2,0
17.5,11.5,29.2,18.8,27.6,48.7,757,27.6,64.4,65.5,0
67.9,71.7,18.1,14.2,39.2,47.8,939,15,34.9,54.2,0
170,105,18.1,55.2,49.1,73,828,10.3,20.2,44.5,0
31.9,25.5,29.7,24.8,1,10.2,38.9,8.28,12,33.4,0
31.9,22.7,12.6,215,18.8,37.9,685,2.46,58.3,6.79,1
29.2,22.9,20.9,74.3,12,28.1,414,5.78,16.8,13.8,0
37.5,22.5,16.8,151,113,227,2642,8.98,14.9,4.33,0
81.3,61,13.6,64.9,17.9,58.8,500,15.5,25.5,28.6,0
77.7,55.2,18.3,127,55.2,84.3,1055,46.1,93.9,105,0
27.6,18.9,21.1,75,16.1,29.2,1165,29.4,65.5,81.3,1
75.7,37.9,10.2,8.98,10.2,28.1,461,22.9,42.9,64.4,0
47.8,30.8,26.2,37.9,7.5,7.04,414,35.9,82.8,160,0
178,108,54.2,274,41,71,1928,8.06,19.1,28.6,1
73,43.7,26.2,343,49.6,80.6,1124,18.4,43.3,66.1,1
34.3,21.3,4.29,13.5,9.82,25.7,649,1,64.4,4.33,0
49.1,11.9,63.8,445,30.5,50.9,437,9.73,15.4,15.4,1
50.9,36.8,21.7,274,12.3,21.5,491,10.9,33.4,45.3,1
36.5,20.9,20.7,68.5,77,110,372,9.73,14.9,26.4,1
73.7,16.8,32.5,24.1,34.3,55.2,567,9.56,22.3,20.5,0
42.6,28.6,18.6,37.9,9.65,24.6,359,5.23,18.3,13.6,0
91.4,55.2,18.3,196,33.7,50.9,655,10.6,27.4,43.3,0
139,94.7,20.9,73.7,27.9,48.3,1197,15.7,36.2,46.1,0
62.1,41,27.4,22.5,8.43,20.7,528,12,23.9,12.6,0
63.8,41,22.3,14.9,30.5,64.9,1843,13.3,34,25.3,0
89.8,82,12.5,27.4,17.3,31.1,882,16.5,47,68.5,0
26.9,23.9,13.8,64.9,26.4,42.9,461,6.55,25.7,32.8,0
112,69.2,23.3,45.7,28.6,59.9,1346,3.08,8.51,7.84,0
69.2,36.8,26.9,19.3,17.9,33.4,1000,11.8,16.7,25.9,0
28.9,18.3,44.1,433,21.1,29.7,449,11,36.2,42.6,1
28.1,13,7.99,145,17,34.3,649,11.8,30.2,52.8,0
23.3,13.1,82,239,30.8,50.5,956,16.8,26.9,18.6,1
181,97.3,22.5,105,1,6.67,1,8.58,20.9,11.3,0
136,87.4,14.1,161,22.5,43.3,2996,10.9,25.3,27.9,1
48.3,21.5,21.5,21.1,6.61,22.9,573,35.2,71,147,0
52.3,28.1,17.2,253,42.6,73.7,723,4.14,37.5,16,1
31.3,18.8,54.2,300,32.5,58.3,1946,1.91,5.38,15.7,1
44.1,18.4,23.5,22.7,22.9,36.8,496,16,34,14.5,0
44.1,42.2,14.5,204,20.7,42.6,509,13.3,39.2,61.5,0
31.9,16.5,12.9,146,60.4,106,1778,49.1,137,205,1
37.5,25.3,21.3,40.3,13,54.7,362,31.6,66.1,71.7,0
115,98.2,20.5,15.4,23.5,63.8,3652,11.8,22.5,18.4,0
27.9,27.4,32.2,274,19.3,29.7,213,2.5,110,8.74,1
34.3,19.5,22.5,205,16.4,29.7,528,21.7,41.4,10.4,0
118,77.7,16.5,112,7.04,3.72,764,12.4,20.9,36.2,1
33.4,13.3,34,41,10.7,28.6,866,10.9,25.9,20,0
21.5,36.2,35.9,141,36.2,64.4,3460,11.5,30.5,43.3,1
74.3,41.8,48.7,253,21.5,46.6,649,6.85,18.4,45.3,1
37.2,18.9,22.1,11.1,16.8,104,2227,18.8,68.5,61.5,0
28.6,31.6,40.7,433,3.43,12.4,898,5.73,28.4,13.7,1
41.8,25.7,20.9,14.1,12.9,35.2,362,13.1,21.7,21.5,0
274,196,22.3,43.7,6.73,23.1,1104,8.98,25.7,17.2,0
27.6,25.5,19.8,36.8,12.6,20.5,562,12.4,46.6,52.3,0
121,79.9,29.7,23.9,25.7,32.5,673,9.65,15.4,33.1,0
237,170,70.4,241,37.5,53.8,322,9.22,15.8,15.8,1
48.3,23.9,18.8,42.6,40.3,50.5,453,20.4,33.1,52.8,0
163,114,24.4,24.4,49.1,71.7,599,49.6,96.5,105,0
241,151,19.8,15.8,14.1,26.7,615,10.1,37.5,42.9,0
74.3,58.8,12.7,150,11.4,22.7,552,8.9,21.7,18.4,0
60.4,40.7,44.9,239,5.33,17.2,743,8.98,17.2,37.2,1
32.2,16.7,33.1,311,37.5,63.2,698,12.5,36.2,56.7,1
51.9,37.5,18.3,24.4,18.6,20.5,319,6.26,11.4,35.9,0
133,80.6,28.4,36.8,37.9,51.9,343,111,331,355,0
34.3,17.2,41.8,274,23.3,35.5,542,12.2,32.5,26.7,1
39.6,30,29.2,241,7.99,25.7,457,2.48,20.7,14.5,1
34.3,17.5,25.3,18.9,18.8,34,704,8.66,21.9,13.1,0
31.3,34.3,17.9,17.6,2.05,8.35,385,50.9,117,151,0
79.9,49.6,35.2,39.2,14.6,20.7,533,4.7,14.5,18.1,0
122,143,27.4,33.4,21.9,31.3,547,8.82,25,23.1,0
37.9,20.5,19.8,67.9,73,124,2393,8.13,11.7,20.4,0
118,64.4,19.1,138,28.9,28.9,655,12.5,29.7,24.8,0
38.9,14.5,15.8,60.4,26.4,45.7,777,10.8,15.3,16.1,1
92.2,41.8,26.4,27.4,9.31,36.8,429,52.8,125,223,0
33.1,14.6,31.1,12.2,7.7,13.7,255,16,24.4,37.5,0
35.5,27.6,14.9,130,11.8,16.5,500,7.23,19.5,17.3,1
59.4,30.8,5.94,29.4,101,161,1778,13.1,22.1,28.1,0
78.4,51.9,22.9,23.7,5.38,9.73,583,6.67,14.2,15.4,0
146,86.6,1,100,14.1,27.4,487,14.9,33.4,42.2,1
26.9,14.2,15.3,45.3,16.3,28.4,644,27.4,56.2,79.9,0
31.3,19.6,17.2,85.8,29.2,59.4,914,9.91,25,14.5,0
30.8,24.8,21.1,91.4,15,41.4,519,33.7,84.3,81.3,1
99.1,97.3,24.1,20.2,35.5,58.3,2350,7.43,24.4,18.6,0
30.8,22.5,11,62.6,34.6,60.4,1472,10.6,27.6,39.6,0
27.9,15,19.5,23.3,18.8,41,1241,4.22,8.2,15.4,0
36.8,31.3,67.9,286,48.7,61,382,22.3,60.4,73,1
109,83.5,59.4,305,35.9,67.9,3786,21.9,47.8,42.9,1
44.5,28.1,7.57,146,15.5,29.4,567,5.28,26.7,17.5,1
37.9,20.2,41.4,42.6,11.4,27.6,429,32.2,85.1,112,0
53.3,38.2,25.3,107,8.28,14.3,264,12.3,24.1,32.5,0
163,92.2,20.5,32.5,23.3,33.7,349,1.98,85.8,7.37,0
33.4,27.1,16.3,142,106,191,2129,10,21.5,23.9,0
34.3,13.2,21.1,24.8,25.7,51.9,519,10.4,23.1,30,0
18.6,5.42,20.2,22.5,40.7,62.6,692,27.4,52.8,61,0
37.2,23.1,7.64,22.5,79.1,147,1894,7.37,25.9,27.1,0
26.7,15.7,28.1,334,14.1,21.1,906,5.88,28.4,21.9,1
142,98.2,59.4,392,71.7,123,1762,34.3,118,137,1
52.3,34,26.9,24.1,37.9,58.8,1459,6.98,22.1,27.6,0
31.9,16.8,32.2,46.6,10.9,27.4,890,18.3,25.9,58.8,0
106,68.5,12.4,175,12.3,40.3,685,8.74,28.4,9.91,0
42.6,21.3,20.9,131,12.7,31.6,487,8.51,18.9,20.7,0
34.9,16.4,17.8,18.8,34.6,59.4,445,53.8,78.4,20.2,0
31.9,26.4,14.1,20.2,12.4,18.9,799,7.17,19.3,22.3,0
36.5,20.7,29.4,36.5,2.07,9.91,26.7,30.5,50.5,9.65,1
27.6,15.5,27.1,35.9,63.2,95.6,1197,13.6,17.9,21.9,0
26.2,20.9,22.7,10.1,15.4,37.2,433,10.8,14.5,8.28,0
16.1,25,18.1,34.6,3.52,13.6,704,11.5,26.9,37.5,0
34.9,16.1,54.2,562,13,27.6,737,9.73,18.4,18.9,1
153,82,33.4,48.7,11.9,28.6,710,16.1,47,36.5,0
129,161,54.2,79.1,34.9,70.4,2788,6.55,7.64,34,1
33.4,17.5,23.9,16.5,7.91,21.5,578,7.5,30.2,24.1,0
31.9,33.4,64.9,474,40.3,46.6,1176,9.22,15.5,12.6,1
25.9,16.7,14.7,217,87.4,151,2839,3.49,51.4,2.21,1
98.2,67.9,11.1,79.1,9.56,21.3,470,51.4,93.1,178,0
55.2,31.3,53.3,253,13.2,25.5,1176,12.2,26.2,30.8,1
25.9,20.2,10.4,179,15.3,36.8,1155,4.14,14.2,7.99,0
45.3,31.1,23.1,30,8.35,24.6,573,9.91,18.9,20.7,0
53.8,31.6,29.7,40,57.3,89,1894,13.8,35.2,39.6,0
43.7,34.6,24.8,14.7,28.9,67.3,1275,22.5,42.6,63.8,0
196,113,14.2,92.2,11.7,15,638,7.57,22.1,25.9,0
30.8,20.7,28.4,30,13.6,16.5,509,10.6,24.8,18.3,0
21.3,23.5,18.3,85.1,22.5,37.5,466,28.9,56.7,63.8,0
34.6,17.8,25.7,30.5,16.3,31.6,615,8.51,12.9,16.8,0
30.2,17.3,61.5,122,9.56,26.4,583,7.5,22.9,13.8,1
30.2,25.3,56.2,573,10.6,23.7,449,13.2,31.1,38.9,1
30.2,11.8,21.5,25.5,6.73,19.3,204,5.47,13.2,23.7,0
132,95.6,19.1,23.7,35.5,53.3,1144,25.3,60.4,123,0
49.6,39.6,37.5,53.8,7.77,22.1,57.3,21.9,49.6,70.4,0
33.4,16,23.1,32.2,29.7,40,557,13.3,9.06,10,0
47,47.8,15.8,117,24.4,36.2,1000,10.5,37.9,94.7,0
72.3,25.7,13,3.16,37.9,115,982,17,37.9,41.8,0
139,91.4,19.5,70.4,13,22.5,414,7.04,20.5,2.55,0
33.4,22.7,16.5,18.3,29.2,54.2,433,16.3,41.8,75,0
92.2,79.9,108,221,121,205,2503,10.5,16,25.5,1
32.5,23.7,28.1,28.1,31.3,44.9,610,18.4,53.3,115,1
35.2,18.6,20.7,24.1,12.9,26.4,538,9.31,27.6,60.4,0
138,105,2.48,15.3,1.24,5.23,62.1,8.51,37.5,26.2,0
37.5,23.1,13.3,292,9.39,38.2,1731,9.39,17.3,25.7,0
37.9,8.66,17.3,33.4,20.2,45.7,2267,8.28,22.7,14.5,0
75,50.9,16.4,29.7,61,108,1395,7.3,17.3,40.3,0
38.2,26.2,30,27.6,20.2,24.8,509,17.2,35.2,17.8,0
26.7,18.6,48.7,44.1,14.1,16.3,791,7.99,20.9,21.9,0
30.5,22.9,22.1,27.1,59.9,113,1554,2.39,82,2.02,0
59.9,47,18.8,193,10.5,25.9,667,13.5,32.8,49.1,1
37.9,22.7,35.9,274,2.94,16.4,649,21.5,48.3,41.8,1
36.2,17.5,47.8,160,59.4,101,1395,11.7,20.9,20.5,1
43.3,27.1,33.4,30.2,9.73,20.7,215,3.05,20.9,1,0
45.7,25.5,15.8,189,52.3,84.3,1420,11.3,42.9,36.2,0
31.6,27.9,18.6,57.8,7.37,10.5,276,6.49,16.1,35.2,0
200,95.6,8.58,16.4,36.5,67.9,991,9.91,22.9,11.7,0
34.9,15.5,23.7,79.9,36.2,57.8,1144,5.47,19.6,26.7,0
178,99.1,14.7,24.1,14.2,15.1,567,106,151,30,0
94.7,38.2,16.1,211,16,28.9,538,9.39,19.6,9.91,1
24.4,18.4,15.7,18.3,12.9,33.1,750,8.28,15.3,12.3,0
55.2,55.2,8.43,146,13.6,27.9,649,7.17,21.7,23.3,1
50.9,47.4,20.4,24.6,10.2,28.1,982,15.8,51.4,77,0
54.2,34.3,12,139,12.3,18.8,621,6.26,18.8,37.9,1
41,26.9,20,17.3,25,36.5,649,11.7,15.1,18.8,0
27.1,27.1,17.9,17.5,6.21,22.1,372,11.2,25.3,47.4,0
36.5,25.3,26.9,255,73,154,3106,10.1,38.5,41,1
26.9,18.4,47.8,223,19.8,41.4,1298,10.9,31.6,31.9,1
112,80.6,22.7,25.9,12.6,30.2,474,4.14,16.8,16.4,0
30,17.6,20.5,24.1,93.1,176,3368,10.2,24.8,51.4,0
28.9,20.9,27.6,34.9,21.7,44.1,1075,6.85,10.9,32.8,0
35.9,22.3,15.4,157,1.26,23.3,17.3,6.38,18.8,20.7,1
207,139,11.8,142,16.8,34.6,562,9.82,18.8,33.7,1
30,33.1,11.8,38.5,6.79,18.3,1165,7.5,10,15.1,0
28.9,15.3,41.4,142,16.1,34.6,478,3.79,24.1,24.1,1
44.9,24.6,20.4,21.5,6.32,22.1,770,23.5,42.6,75,1
15,7.04,18.9,237,244,474,5523,14.3,27.6,58.3,1
41.8,23.1,19.3,158,30.5,46.6,483,9.91,24.1,28.9,0
31.1,20,12.1,157,94.7,136,1046,10.5,33.7,51.4,0
26.4,21.1,16.8,57.3,37.5,58.8,523,4.87,34.3,25.9,0
69.2,37.9,19.8,17,28.1,48.3,644,8.51,29.7,26.2,0
