raf,mek,plc,pip2,pip3,erk,akt,pka,p38,jnk,Class
27.1,30.8,23.1,16.5,4.33,13.3,39.6,982,25.7,42.6,0
172,110,11,221,23.9,63.8,118,3134,19.8,26.4,0
68.5,47,30,28.1,11.8,20.2,28.1,562,35.9,1,0
22.1,19.8,19.8,157,13,28.1,34.6,538,25,29.2,0
47.4,36.5,9.22,12.9,2.13,19.8,38.9,874,13.8,15.7,0
57.3,46.6,13.3,75.7,10,10.1,28.1,449,20,17.5,0
36.5,16.4,18.6,26.2,5.94,13.6,21.9,1762,37.5,11,1
34,12,33.4,255,35.9,17.6,32.8,644,46.6,15.7,0
36.8,13.3,14.6,24.8,9.73,70.4,118,1009,7.91,10.5,0
42.6,26.2,30,21.1,7.3,9.91,35.9,403,24.1,22.9,0
28.1,16.7,35.2,49.1,18.3,23.7,36.8,514,38.5,60.4,0
142,76.4,18.6,22.7,2.84,32.5,55.2,890,41,43.7,1
36.2,34,36.8,42.9,24.1,36.8,45.7,638,19.5,26.9,0
33.1,29.4,22.1,42.2,2.84,23.1,33.1,1055,47,42.2,0
215,109,13.9,42.9,4.18,29.4,60.4,3191,20.5,31.6,0
115,80.6,22.3,27.4,2.25,20.7,31.6,567,25.3,29.7,0
97.3,63.2,21.5,21.1,2.76,27.1,47,784,46.1,18.9,0
129,93.9,23.7,16,9.22,7.91,38.2,403,6.04,1.13,0
67.3,41.4,40.7,66.1,20.5,82,131,2017,16.3,27.6,0
46.6,29.2,17.5,58.3,14.9,19.8,37.9,947,17.6,25.7,0
58.3,40.7,16.5,150,12.5,14.9,35.2,914,13.9,28.4,0
52.8,43.3,30.8,21.9,2.71,37.9,56.7,1554,32.8,35.2,1
37.5,29.4,27.6,45.3,23.5,43.3,60.4,692,24.8,37.2,0
165,98.2,23.7,17.3,13.2,13.1,23.9,737,21.5,23.1,1
80.6,49.1,17.8,235,29.7,4.83,18.9,322,24.1,52.3,1
36.2,18.6,19.1,14.1,16,19.1,30.5,661,19.1,37.2,1
22.9,26.2,20,207,17.2,19.6,35.5,791,16.3,36.8,0
35.2,34.9,20.7,204,18.6,18.3,29.4,588,22.3,36.8,1
34.9,22.1,26.7,43.3,6.67,27.4,26.7,491,5.73,22.1,0
178,100,27.4,300,20.5,34.3,67.3,1794,8.51,16.4,0
50.5,30.2,19.3,11,6.1,17.3,28.9,632,63.8,59.9,1
64.9,51.9,17,135,16.7,15,23.9,764,17,26.9,0
54.7,37.2,20,16.1,9.73,35.2,53.8,552,31.1,5.14,1
30.5,21.7,21.5,95.6,4.33,16.7,28.1,947,22.9,20.4,0
51.4,32.8,32.8,23.9,21.1,13.6,23.7,843,21.7,21.9,0
69.2,40.3,20.2,62.6,19.5,2.15,7.37,21.3,42.2,38.2,1
36.8,22.7,28.1,23.1,4.78,20.7,32.8,433,104,95.6,1
47,37.2,12.6,35.2,3.08,12.1,24.1,673,23.7,17.5,0
37.2,29.2,35.5,29.7,19.6,56.7,82,1827,10.3,24.4,0
50.5,29.2,15,143,7.91,17.9,32.5,470,24.4,15.7,0
15.3,30.5,19.5,154,10.6,30,47.4,594,36.8,43.3,0
38.2,21.9,36.5,382,44.5,17,39.2,500,24.1,32.5,0
64.4,35.9,18.1,20.5,6.49,26.2,60.4,1640,42.6,42.2,1
172,95.6,15.5,40.7,11.1,3.28,12.3,737,21.5,18.9,0
35.5,28.1,17.8,20.5,11.2,50.9,89,890,7.23,14.9,0
40.3,21.5,51.4,223,31.6,15.8,41.4,610,20.2,20.9,0
22.9,19.3,13.9,16.7,7.77,111,172,2054,20.5,22.5,0
53.8,49.6,25.5,20.2,6.32,6.15,13,939,45.3,68.5,1
147,89,33.7,269,23.3,8.98,22.7,1000,20,34.9,0
95.6,64.9,30.8,198,38.2,63.2,127,2308,25.5,52.3,1
75.7,63.8,55.7,311,62.1,37.2,63.8,1685,26.2,38.2,1
79.1,52.3,12.9,138,12.1,172,453,4826,28.9,28.4,0
42.9,30.8,23.1,18.6,1.86,4.53,17.8,1065,19.1,12.3,0
157,93.9,16.5,16.4,1.68,18.4,35.9,649,26.7,21.1,0
223,153,10.7,87.4,6.04,38.2,69.2,2288,80.6,120,1
33.1,20.9,21.5,84.3,17.2,17.6,27.9,573,24.1,16.4,0
57.8,7.57,16.3,158,21.5,42.6,73.7,1009,12,17.6,0
233,286,46.6,302,47.8,12.2,17.5,679,22.3,73,0
52.3,45.3,10.4,83.5,6.98,14.2,31.3,931,26.4,42.2,0
43.7,27.6,25.9,22.3,3.59,30.8,44.1,594,54.2,94.7,1
36.2,19.3,21.3,16.4,1.53,28.9,40,890,30.5,17.6,0
54.7,42.2,20.2,16.5,4.91,45.7,78.4,3652,19.5,29.7,1
60.4,35.5,14.1,124,18.1,1,2.71,10.6,71,86.6,1
59.9,48.7,30.2,209,8.06,22.1,41,509,21.5,18.1,0
22.9,26.9,20.2,19.6,5.23,10.3,13.3,255,22.5,19.6,0
164,225,18.4,52.8,1.46,50,68.5,453,18.4,13.9,0
44.5,33.7,19.3,35.2,12,3.68,21.9,445,16.8,25.3,0
36.5,22.5,17.2,16.5,7.3,21.5,48.7,604,42.9,44.1,1
23.9,7.57,20.5,121,11.2,35.5,46.6,615,75.7,75,1
49.6,41.4,25.7,11.1,9.06,28.9,57.3,1762,27.1,33.1,0
143,74.3,24.4,51.4,14.7,50,82.8,2414,100,87.4,1
35.2,16.3,16.8,20,13.9,9.06,34,407,29.2,35.2,0
36.5,22.1,15.8,111,24.6,31.1,56.2,685,16.1,2.5,0
34.3,21.1,14.6,132,12.5,9.56,14.9,799,16.5,25.5,0
20,17.6,5.99,6.92,11.2,3.65,10.4,552,22.3,21.5,0
73,50,28.9,32.2,18.8,10.2,17.9,319,17,42.2,0
161,89,19.5,142,5.99,18.4,24.6,704,19.5,12.4,0
31.3,31.3,18.8,17.3,1.86,21.7,49.6,1433,29.2,30.2,1
27.1,28.4,16.1,20.5,19.1,14.7,25.9,626,46.1,3.08,0
205,137,19.1,17,8.28,26.9,59.4,956,16.1,28.6,0
47.4,38.5,24.6,31.3,1,57.3,93.9,1911,17.3,18.9,0
52.8,31.3,44.9,264,30.2,12.1,35.9,1263,27.9,21.7,1
164,87.4,22.1,26.4,1.96,12.1,13.9,533,31.9,25.7,0
55.7,29.4,33.1,626,41.4,11.2,23.7,784,15.7,36.2,0
40,44.1,63.8,346,71.7,12.7,29.2,578,41.4,53.3,1
85.8,71,19.1,28.1,10.4,31.9,57.3,1582,13.7,34.3,0
47.4,33.1,65.5,141,19.5,33.4,46.1,426,30.2,20.2,1
37.5,28.1,13.9,34,3.92,11.3,21.9,1155,20.7,24.1,0
26.7,15,9.82,154,7.04,25.7,39.6,325,29.7,52.8,1
37.9,29.4,27.4,24.1,1.33,15.4,31.1,547,9.56,20.7,0
29.4,22.5,45.7,328,21.5,94.7,170,2167,20.7,30.8,0
33.1,26.4,21.5,50.9,6.98,117,135,445,109,103,1
38.2,18.1,10,20.4,8.58,12.2,31.9,784,28.4,22.7,0
36.8,24.4,15.7,44.5,5.62,23.7,43.7,1018,281,355,1
41,31.9,20,105,16.8,34,67.9,1640,36.5,32.2,1
141,76.4,24.8,35.9,3.4,4.53,10.2,922,22.5,25.9,0
42.9,35.9,14.7,124,19.8,30.2,48.7,1104,13.2,18.4,0
66.7,30.2,1,14.3,7.17,40.7,64.4,449,6.21,3.92,0
28.1,12.4,24.8,22.5,6.1,14.6,40.7,514,20.9,24.1,0
21.3,22.3,53.3,337,67.9,7.37,8.51,334,15,13.5,0
28.6,22.5,10.6,19.1,19.8,60.4,147,2548,41.8,67.9,1
225,149,9.39,11.3,10.4,24.8,59.9,1640,13.1,17.3,0
143,161,26.9,16.1,11.7,8.43,25.9,799,47.8,39.6,1
32.5,27.6,20,56.7,5.47,30.5,45.7,1208,64.9,131,1
40.7,21.5,21.7,50.9,11.3,28.4,42.2,578,17.9,16,0
53.3,47.4,29.2,47.4,13,9.39,23.5,1094,119,6.92,0
85.8,46.1,58.3,355,62.1,13,27.9,466,99.1,59.9,1
51.9,37.5,53.3,198,71,9.22,18.1,533,29.4,54.7,1
67.3,72.3,10.5,119,5.19,23.3,41,632,131,264,1
30,30.5,2.62,3.28,1,5.09,12.7,710,15.3,13.3,0
24.1,18.3,17.9,97.3,7.1,63.2,112,1911,27.9,35.2,1
32.2,19.1,14.3,77,12.1,17.5,30.2,562,50,62.6,1
36.2,31.6,22.5,41,10.1,12.4,27.9,965,57.3,64.4,1
72.3,53.8,24.8,20.7,3.92,16.3,28.9,1298,84.3,89.8,1
34.9,25.7,20.4,81.3,2.97,21.5,50.5,1165,30.5,23.5,0
151,80.6,43.3,47,15.7,20,49.1,704,11.3,15,0
34,15.4,16.8,57.8,7.57,35.2,49.6,1762,28.6,27.1,0
104,82,12.3,1.19,21.9,17,23.3,523,26.4,27.1,1
88.2,35.9,20,131,11.4,34.6,55.2,1144,34.3,27.1,1
107,56.2,19.6,195,15.3,29.4,46.6,638,21.1,13.9,0
3.49,4.41,25.9,26.7,2.05,20,40.7,828,28.1,27.9,0
50.5,33.4,51.9,385,57.8,16.7,22.9,487,18.1,32.2,0
79.1,56.2,4.78,66.1,6.32,39.6,79.1,2503,62.1,72.3,1
51.4,27.4,65.5,418,59.4,24.6,41.8,799,33.7,31.1,1
48.3,33.4,25,28.6,6.1,3.92,8.9,158,12.7,19.3,0
77,50.5,18.9,150,10.7,29.2,49.1,874,200,7.23,0
41,27.6,20,16.1,1.31,13.7,42.9,610,77,121,1
50,25.3,16.7,80.6,8.43,22.1,36.8,583,10.6,23.1,0
57.3,35.5,62.6,437,49.1,4.53,15.1,806,59.4,14.3,1
34,16,12.1,289,22.7,17.8,20.7,505,29.7,32.5,1
31.9,23.5,25.3,23.5,3.31,10.7,24.6,851,22.7,7.37,0
39.6,28.1,18.1,28.9,20.9,19.1,29.7,557,65.5,73,1
88.2,63.8,78.4,337,51.4,28.4,44.5,828,52.3,55.2,1
65.5,42.9,23.3,22.5,12.6,13.5,19.1,441,23.3,34.3,0
108,71.7,16.8,183,23.9,16.1,30,400,21.5,44.1,1
27.9,26.2,14.1,292,25.5,13.9,38.5,730,23.3,26.7,0
114,69.8,12.2,211,10.3,63.8,98.2,1655,24.4,30,0
48.7,28.9,32.2,31.3,17,32.8,57.8,1298,49.6,54.7,1
41,18.1,14.6,22.1,1,24.4,38.9,594,17.9,7.3,0
34.9,19.6,20.2,13.1,1,55.2,115,1843,25.3,36.2,0
17.5,11.5,29.2,18.8,5.94,27.6,48.7,757,64.4,65.5,1
67.9,71.7,18.1,14.2,9.14,39.2,47.8,939,34.9,54.2,1
170,105,18.1,55.2,5.73,49.1,73,828,20.2,44.5,0
31.9,25.5,29.7,24.8,2.64,1,10.2,38.9,12,33.4,0
31.9,22.7,12.6,215,18.9,18.8,37.9,685,58.3,6.79,0
29.2,22.9,20.9,74.3,4.03,12,28.1,414,16.8,13.8,0
37.5,22.5,16.8,151,12.2,113,227,2642,14.9,4.33,0
81.3,61,13.6,64.9,11.1,17.9,58.8,500,25.5,28.6,1
77.7,55.2,18.3,127,11.9,55.2,84.3,1055,93.9,105,1
27.6,18.9,21.1,75,18.9,16.1,29.2,1165,65.5,81.3,1
75.7,37.9,10.2,8.98,7.7,10.2,28.1,461,42.9,64.4,1
47.8,30.8,26.2,37.9,5.99,7.5,7.04,414,82.8,160,1
178,108,54.2,274,29.7,41,71,1928,19.1,28.6,0
73,43.7,26.2,343,42.2,49.6,80.6,1124,43.3,66.1,1
34.3,21.3,4.29,13.5,9.31,9.82,25.7,649,64.4,4.33,0
49.1,11.9,63.8,445,66.1,30.5,50.9,437,15.4,15.4,0
50.9,36.8,21.7,274,20.2,12.3,21.5,491,33.4,45.3,0
36.5,20.9,20.7,68.5,24.4,77,110,372,14.9,26.4,0
73.7,16.8,32.5,24.1,1,34.3,55.2,567,22.3,20.5,0
42.6,28.6,18.6,37.9,13.5,9.65,24.6,359,18.3,13.6,0
91.4,55.2,18.3,196,10.6,33.7,50.9,655,27.4,43.3,0
139,94.7,20.9,73.7,10.2,27.9,48.3,1197,36.2,46.1,1
62.1,41,27.4,22.5,1.79,8.43,20.7,528,23.9,12.6,0
63.8,41,22.3,14.9,1.09,30.5,64.9,1843,34,25.3,1
89.8,82,12.5,27.4,10.1,17.3,31.1,882,47,68.5,1
26.9,23.9,13.8,64.9,10.9,26.4,42.9,461,25.7,32.8,0
112,69.2,23.3,45.7,10.8,28.6,59.9,1346,8.51,7.84,0
69.2,36.8,26.9,19.3,7.37,17.9,33.4,1000,16.7,25.9,0
28.9,18.3,44.1,433,67.3,21.1,29.7,449,36.2,42.6,0
28.1,13,7.99,145,16.3,17,34.3,649,30.2,52.8,0
23.3,13.1,82,239,26.2,30.8,50.5,956,26.9,18.6,1
181,97.3,22.5,105,12.9,1,6.67,1,20.9,11.3,0
136,87.4,14.1,161,21.9,22.5,43.3,2996,25.3,27.9,0
48.3,21.5,21.5,21.1,9.14,6.61,22.9,573,71,147,1
52.3,28.1,17.2,253,31.9,42.6,73.7,723,37.5,16,0
31.3,18.8,54.2,300,42.2,32.5,58.3,1946,5.38,15.7,0
44.1,18.4,23.5,22.7,6.61,22.9,36.8,496,34,14.5,1
44.1,42.2,14.5,204,13.8,20.7,42.6,509,39.2,61.5,1
31.9,16.5,12.9,146,28.1,60.4,106,1778,137,205,1
37.5,25.3,21.3,40.3,10.6,13,54.7,362,66.1,71.7,1
115,98.2,20.5,15.4,10.4,23.5,63.8,3652,22.5,18.4,0
27.9,27.4,32.2,274,34.6,19.3,29.7,213,110,8.74,0
34.3,19.5,22.5,205,17.8,16.4,29.7,528,41.4,10.4,1
118,77.7,16.5,112,21.7,7.04,3.72,764,20.9,36.2,0
33.4,13.3,34,41,10.8,10.7,28.6,866,25.9,20,0
21.5,36.2,35.9,141,29.4,36.2,64.4,3460,30.5,43.3,0
74.3,41.8,48.7,253,29.2,21.5,46.6,649,18.4,45.3,0
37.2,18.9,22.1,11.1,8.82,16.8,104,2227,68.5,61.5,1
28.6,31.6,40.7,433,56.7,3.43,12.4,898,28.4,13.7,0
41.8,25.7,20.9,14.1,5.38,12.9,35.2,362,21.7,21.5,1
274,196,22.3,43.7,8.35,6.73,23.1,1104,25.7,17.2,0
27.6,25.5,19.8,36.8,5.42,12.6,20.5,562,46.6,52.3,0
121,79.9,29.7,23.9,14.5,25.7,32.5,673,15.4,33.1,0
237,170,70.4,241,41.4,37.5,53.8,322,15.8,15.8,0
48.3,23.9,18.8,42.6,6.55,40.3,50.5,453,33.1,52.8,1
163,114,24.4,24.4,14.3,49.1,71.7,599,96.5,105,1
241,151,19.8,15.8,7.77,14.1,26.7,615,37.5,42.9,0
74.3,58.8,12.7,150,8.13,11.4,22.7,552,21.7,18.4,0
60.4,40.7,44.9,239,40.3,5.33,17.2,743,17.2,37.2,0
32.2,16.7,33.1,311,45.7,37.5,63.2,698,36.2,56.7,0
51.9,37.5,18.3,24.4,5.14,18.6,20.5,319,11.4,35.9,0
133,80.6,28.4,36.8,6.61,37.9,51.9,343,331,355,1
34.3,17.2,41.8,274,24.6,23.3,35.5,542,32.5,26.7,0
39.6,30,29.2,241,35.9,7.99,25.7,457,20.7,14.5,0
34.3,17.5,25.3,18.9,13.6,18.8,34,704,21.9,13.1,0
31.3,34.3,17.9,17.6,12.9,2.05,8.35,385,117,151,1
79.9,49.6,35.2,39.2,9.31,14.6,20.7,533,14.5,18.1,0
122,143,27.4,33.4,6.85,21.9,31.3,547,25,23.1,0
37.9,20.5,19.8,67.9,15.4,73,124,2393,11.7,20.4,0
118,64.4,19.1,138,15.4,28.9,28.9,655,29.7,24.8,0
38.9,14.5,15.8,60.4,37.9,26.4,45.7,777,15.3,16.1,0
92.2,41.8,26.4,27.4,5.67,9.31,36.8,429,125,223,1
33.1,14.6,31.1,12.2,9.06,7.7,13.7,255,24.4,37.5,1
35.5,27.6,14.9,130,18.8,11.8,16.5,500,19.5,17.3,0
59.4,30.8,5.94,29.4,9.22,101,161,1778,22.1,28.1,1
78.4,51.9,22.9,23.7,10.4,5.38,9.73,583,14.2,15.4,0
146,86.6,1,100,19.3,14.1,27.4,487,33.4,42.2,1
26.9,14.2,15.3,45.3,10,16.3,28.4,644,56.2,79.9,1
31.3,19.6,17.2,85.8,11.7,29.2,59.4,914,25,14.5,0
30.8,24.8,21.1,91.4,19.6,15,41.4,519,84.3,81.3,1
99.1,97.3,24.1,20.2,8.98,35.5,58.3,2350,24.4,18.6,0
30.8,22.5,11,62.6,6.04,34.6,60.4,1472,27.6,39.6,0
27.9,15,19.5,23.3,14.2,18.8,41,1241,8.2,15.4,0
36.8,31.3,67.9,286,54.7,48.7,61,382,60.4,73,1
109,83.5,59.4,305,49.6,35.9,67.9,3786,47.8,42.9,1
44.5,28.1,7.57,146,19.6,15.5,29.4,567,26.7,17.5,0
37.9,20.2,41.4,42.6,14.6,11.4,27.6,429,85.1,112,1
53.3,38.2,25.3,107,13.2,8.28,14.3,264,24.1,32.5,0
163,92.2,20.5,32.5,6.92,23.3,33.7,349,85.8,7.37,0
33.4,27.1,16.3,142,9.22,106,191,2129,21.5,23.9,0
34.3,13.2,21.1,24.8,12.2,25.7,51.9,519,23.1,30,0
18.6,5.42,20.2,22.5,4.49,40.7,62.6,692,52.8,61,1
37.2,23.1,7.64,22.5,13.2,79.1,147,1894,25.9,27.1,0
26.7,15.7,28.1,334,48.3,14.1,21.1,906,28.4,21.9,0
142,98.2,59.4,392,44.5,71.7,123,1762,118,137,1
52.3,34,26.9,24.1,5.73,37.9,58.8,1459,22.1,27.6,0
31.9,16.8,32.2,46.6,15.7,10.9,27.4,890,25.9,58.8,1
106,68.5,12.4,175,16.8,12.3,40.3,685,28.4,9.91,0
42.6,21.3,20.9,131,12.1,12.7,31.6,487,18.9,20.7,0
34.9,16.4,17.8,18.8,2.15,34.6,59.4,445,78.4,20.2,1
31.9,26.4,14.1,20.2,4.61,12.4,18.9,799,19.3,22.3,0
36.5,20.7,29.4,36.5,21.3,2.07,9.91,26.7,50.5,9.65,1
27.6,15.5,27.1,35.9,10.6,63.2,95.6,1197,17.9,21.9,1
26.2,20.9,22.7,10.1,7.43,15.4,37.2,433,14.5,8.28,0
16.1,25,18.1,34.6,4.49,3.52,13.6,704,26.9,37.5,0
34.9,16.1,54.2,562,71.7,13,27.6,737,18.4,18.9,0
153,82,33.4,48.7,8.28,11.9,28.6,710,47,36.5,1
129,161,54.2,79.1,23.5,34.9,70.4,2788,7.64,34,0
33.4,17.5,23.9,16.5,1,7.91,21.5,578,30.2,24.1,0
31.9,33.4,64.9,474,77,40.3,46.6,1176,15.5,12.6,0
25.9,16.7,14.7,217,36.8,87.4,151,2839,51.4,2.21,0
98.2,67.9,11.1,79.1,6.04,9.56,21.3,470,93.1,178,1
55.2,31.3,53.3,253,50.9,13.2,25.5,1176,26.2,30.8,0
25.9,20.2,10.4,179,17.8,15.3,36.8,1155,14.2,7.99,0
45.3,31.1,23.1,30,12.1,8.35,24.6,573,18.9,20.7,0
53.8,31.6,29.7,40,14.5,57.3,89,1894,35.2,39.6,1
43.7,34.6,24.8,14.7,5.88,28.9,67.3,1275,42.6,63.8,1
196,113,14.2,92.2,2.41,11.7,15,638,22.1,25.9,0
30.8,20.7,28.4,30,12.7,13.6,16.5,509,24.8,18.3,0
21.3,23.5,18.3,85.1,7.37,22.5,37.5,466,56.7,63.8,1
34.6,17.8,25.7,30.5,4.53,16.3,31.6,615,12.9,16.8,0
30.2,17.3,61.5,122,72.3,9.56,26.4,583,22.9,13.8,0
30.2,25.3,56.2,573,75,10.6,23.7,449,31.1,38.9,1
30.2,11.8,21.5,25.5,11.5,6.73,19.3,204,13.2,23.7,0
132,95.6,19.1,23.7,11.2,35.5,53.3,1144,60.4,123,1
49.6,39.6,37.5,53.8,13.9,7.77,22.1,57.3,49.6,70.4,1
33.4,16,23.1,32.2,8.51,29.7,40,557,9.06,10,1
47,47.8,15.8,117,14.7,24.4,36.2,1000,37.9,94.7,0
72.3,25.7,13,3.16,7.91,37.9,115,982,37.9,41.8,1
139,91.4,19.5,70.4,7.23,13,22.5,414,20.5,2.55,0
33.4,22.7,16.5,18.3,11.5,29.2,54.2,433,41.8,75,1
92.2,79.9,108,221,1084,121,205,2503,16,25.5,0
32.5,23.7,28.1,28.1,22.5,31.3,44.9,610,53.3,115,1
35.2,18.6,20.7,24.1,4.07,12.9,26.4,538,27.6,60.4,0
138,105,2.48,15.3,9.47,1.24,5.23,62.1,37.5,26.2,0
37.5,23.1,13.3,292,7.3,9.39,38.2,1731,17.3,25.7,0
37.9,8.66,17.3,33.4,7.91,20.2,45.7,2267,22.7,14.5,0
75,50.9,16.4,29.7,9.14,61,108,1395,17.3,40.3,0
38.2,26.2,30,27.6,6.49,20.2,24.8,509,35.2,17.8,1
26.7,18.6,48.7,44.1,3.79,14.1,16.3,791,20.9,21.9,0
30.5,22.9,22.1,27.1,6.44,59.9,113,1554,82,2.02,0
59.9,47,18.8,193,32.2,10.5,25.9,667,32.8,49.1,1
37.9,22.7,35.9,274,33.1,2.94,16.4,649,48.3,41.8,1
36.2,17.5,47.8,160,20.9,59.4,101,1395,20.9,20.5,0
43.3,27.1,33.4,30.2,11.9,9.73,20.7,215,20.9,1,0
45.7,25.5,15.8,189,8.28,52.3,84.3,1420,42.9,36.2,0
31.6,27.9,18.6,57.8,13.1,7.37,10.5,276,16.1,35.2,0
200,95.6,8.58,16.4,3.62,36.5,67.9,991,22.9,11.7,0
34.9,15.5,23.7,79.9,16.1,36.2,57.8,1144,19.6,26.7,0
178,99.1,14.7,24.1,10.2,14.2,15.1,567,151,30,1
94.7,38.2,16.1,211,32.2,16,28.9,538,19.6,9.91,0
24.4,18.4,15.7,18.3,3.37,12.9,33.1,750,15.3,12.3,0
55.2,55.2,8.43,146,21.5,13.6,27.9,649,21.7,23.3,0
50.9,47.4,20.4,24.6,2.02,10.2,28.1,982,51.4,77,1
54.2,34.3,12,139,19.6,12.3,18.8,621,18.8,37.9,0
41,26.9,20,17.3,7.77,25,36.5,649,15.1,18.8,0
27.1,27.1,17.9,17.5,6.38,6.21,22.1,372,25.3,47.4,0
36.5,25.3,26.9,255,20.4,73,154,3106,38.5,41,0
26.9,18.4,47.8,223,48.3,19.8,41.4,1298,31.6,31.9,0
112,80.6,22.7,25.9,10.3,12.6,30.2,474,16.8,16.4,0
30,17.6,20.5,24.1,1.07,93.1,176,3368,24.8,51.4,0
28.9,20.9,27.6,34.9,10.7,21.7,44.1,1075,10.9,32.8,0
35.9,22.3,15.4,157,20.7,1.26,23.3,17.3,18.8,20.7,0
207,139,11.8,142,19.8,16.8,34.6,562,18.8,33.7,0
30,33.1,11.8,38.5,14.7,6.79,18.3,1165,10,15.1,0
28.9,15.3,41.4,142,35.5,16.1,34.6,478,24.1,24.1,0
44.9,24.6,20.4,21.5,24.8,6.32,22.1,770,42.6,75,1
15,7.04,18.9,237,23.3,244,474,5523,27.6,58.3,1
41.8,23.1,19.3,158,15,30.5,46.6,483,24.1,28.9,0
31.1,20,12.1,157,15.8,94.7,136,1046,33.7,51.4,0
26.4,21.1,16.8,57.3,8.82,37.5,58.8,523,34.3,25.9,0
69.2,37.9,19.8,17,1.27,28.1,48.3,644,29.7,26.2,0
54.7,36.5,7.04,8.9,5.47,6.32,4.57,150,22.3,6.55,0
25.9,13.3,89.8,422,73,30.2,44.9,661,27.6,41.4,0
31.9,16.4,67.3,176,23.9,56.7,97.3,1263,14.3,26.7,1
49.1,43.3,31.1,32.8,17.8,19.6,42.2,599,16.7,24.4,0
28.4,20.2,9.14,165,12.5,13.7,27.9,403,20.4,23.5,0
42.6,33.1,28.9,24.6,10.6,12.2,20.2,505,15.5,4.07,0
29.4,25.5,12.2,75.7,12,18.9,42.2,2207,28.1,22.3,0
34.3,17.6,19.6,20.7,14.1,30.2,41,313,19.5,14.9,0
33.4,28.6,11.4,189,14.2,15.5,29.4,542,14.3,27.6,0
69.2,54.2,19.5,16.3,11.1,11.4,24.8,573,27.1,59.4,0
132,84.3,23.1,20.9,3.25,21.5,34,362,27.9,36.8,0
1.14,2.11,23.5,19.5,1,24.1,46.6,973,184,207,1
25.9,13.2,21.9,24.1,21.3,59.9,92.2,1370,20.7,26.9,0
33.1,22.3,47.4,141,39.2,27.1,50.5,1000,75,7.7,0
122,75.7,20.5,42.2,6.49,49.1,120,1322,16,22.3,0
78.4,56.2,5.38,146,8.82,10.8,26.2,418,49.6,64.9,1
63.2,50.9,58.8,389,59.4,21.7,33.7,858,24.1,13.7,1
39.6,20.4,14.1,101,11.8,13,22.9,514,16,33.7,0
204,138,17.5,191,25.5,5.52,14.6,914,18.8,30.2,0
22.5,17,16.7,82,18.8,37.2,61.5,1186,22.7,28.6,0
40.3,21.7,27.1,297,26.7,40,62.1,1055,22.7,35.9,0
235,135,53.3,359,53.8,11.9,24.8,673,61.5,79.1,1
24.1,13,72.3,337,85.8,1.01,2.44,158,15.3,17.2,0
22.5,21.1,23.3,61,7.64,103,255,3752,25.9,22.3,0
108,106,38.9,255,55.2,55.7,87.4,1395,39.2,26.7,0
53.3,38.2,30,36.5,8.82,13.9,23.3,583,20,23.1,0
132,59.9,36.2,160,44.9,8.66,36.5,359,27.4,17.9,0
94.7,64.4,16.3,16.8,9.22,67.3,105,1981,22.5,20.5,0
151,98.2,23.1,36.8,1.41,41.8,93.9,1554,17.5,1.17,0
112,81.3,18.9,37.9,12.9,9.65,26.4,1395,15.1,28.1,0
120,77.7,40,62.1,28.4,22.9,36.8,414,13.7,17.5,0
39.2,34.9,75.7,433,73,11.7,39.2,449,51.4,75.7,1
164,119,13.6,89,11.5,21.5,40,382,18.8,17.8,0
29.7,16.7,85.1,274,41.8,15,25.5,523,29.2,63.8,0
44.9,48.3,27.9,30.8,19.5,64.4,146,2091,27.6,23.5,0
20.5,30.2,23.1,20.4,3.79,20,73,562,63.8,151,1
172,90.6,22.7,16.3,7.1,70.4,89.8,403,22.7,36.2,0
28.1,24.4,14.9,67.9,1.54,10.4,13.5,649,55.2,14.6,1
46.1,20.2,18.1,81.3,8.82,18.3,39.2,567,15.7,32.5,0
147,102,6.04,20.4,10.3,29.2,47.4,478,14.6,11.4,0
32.8,28.1,17.3,20.9,3.82,100,172,2666,75.7,107,1
9.39,18.1,14.2,17.6,8.13,11.2,21.1,457,184,27.6,1
34.9,30,40.3,389,33.7,29.2,81.3,2247,12.6,19.1,0
73.7,57.8,8.9,122,6.04,45.7,58.8,578,66.7,62.1,1
56.2,44.5,18.1,20.7,5.62,10.7,31.9,403,30.5,53.8,0
101,64.4,23.1,98.2,15.3,19.3,38.2,685,27.4,28.9,1
77.7,43.7,17.2,21.5,5.09,12.4,23.1,947,20,15.3,0
65.5,40.7,17.5,23.3,10,7.43,19.3,1000,64.4,1.12,0
28.6,17.9,15,51.9,14.9,9.22,34.6,470,12.5,19.1,0
63.2,28.6,60.4,161,36.5,63.8,98.2,890,22.3,21.9,1
45.7,10.6,18.1,105,14.1,106,181,2167,29.4,22.1,1
50.5,35.9,62.1,308,41.8,15,25.7,552,18.4,13,0
13.8,18.3,13.5,54.2,21.9,18.4,39.6,655,30.5,34.3,0
22.1,14.3,71,215,55.2,16.8,30.2,491,16.4,29.2,0
40,18.3,22.3,29.2,11.1,50,101,2690,86.6,4.07,0
38.2,13.7,15.8,47.4,4.96,11.9,28.9,470,89.8,114,1
23.9,13.3,52.3,88.2,30.2,4.83,16.4,743,32.8,83.5,1
90.6,57.8,28.9,23.3,1.93,16,35.9,396,95.6,100,1
30.8,21.3,15.4,111,20.4,12.5,34.3,466,48.7,110,1
36.2,17.3,15.5,136,18.1,18.4,31.3,505,78.4,121,1
34,19.8,34,196,13.7,6.85,19.5,820,23.1,27.1,0
